"id","recipe","ingredient","amount"
29,"BBQ Ribs","spare ribs",1
42,"Beef Randang","beef chuck",1
46,"Beef Randang","nutmeg",1
47,"Beef Randang","shallots",6
49,"Beef Randang","red thai chilies",10
50,"Beef Randang","canned coconut milk",2
51,"Beef Randang","lemongrass",3
52,"Beef Randang","cinnamon stick",1
53,"Beef Randang","galangal",2
115,"Bouletten","pork mince",0.75
116,"Bouletten","eggs",1
117,"Bouletten","carrots",4
118,"Bouletten","frozen peas",0.25
119,"Bouletten","parsley",0.25
120,"Bouletten","bread crumbs",0.25
26,"Broccoli and Gorgonzola Pasta","broccoli",1
27,"Broccoli and Gorgonzola Pasta","gorgonzola cheese",1
28,"Broccoli and Gorgonzola Pasta","cream",1
35,"Broccoli and Gorgonzola Pasta","fusilli",1
62,"Burritos","dried black beans",1
63,"Burritos","tortillas",2
64,"Burritos","sour cream",0.5
65,"Burritos","scallions",1
66,"Burritos","chillies",2
67,"Burritos","peppers",2
68,"Burritos","lettuce",0.5
23,"Cacio e Pepe","romano cheese",0.5
24,"Cacio e Pepe","spaghetti",1
108,"Chicken Enchiladas","onions",1
109,"Chicken Enchiladas","tomato sauce",1
110,"Chicken Enchiladas","cilantro",0.5
111,"Chicken Enchiladas","cheddar cheese",1
112,"Chicken Enchiladas","pickled peppers",1
113,"Chicken Enchiladas","chicken thighs",4
114,"Chicken Enchiladas","tortillas",2
97,"Cubano","pork loin",1
98,"Cubano","gherkins",0.25
99,"Cubano","emental cheese",0.25
100,"Cubano","ciabatta rolls",4
43,"Cucumber Carrot Pickle","cucumber",1
44,"Cucumber Carrot Pickle","carrots",2
45,"Cucumber Carrot Pickle","green thai chilies",2
48,"Cucumber Carrot Pickle","shallots",3
1,"Fajitas","skirt steak",0.5
2,"Fajitas","peppers",3
3,"Fajitas","limes",1
4,"Fajitas","red onions",2
5,"Fajitas","tortillas",2
6,"Fajitas","sour cream",0.25
21,"Fajitas","chillies",4
31,"German Potato Salad","vivaldi potatoes",2
32,"German Potato Salad","bacon",0.5
33,"German Potato Salad","apples",2
34,"German Potato Salad","eggs",4
75,"German Potato Salad","cornichon",2
86,"Grain Salad","farrow",1
87,"Grain Salad","lentils",1
88,"Grain Salad","cucumber",1
89,"Grain Salad","capers",0.5
90,"Grain Salad","pomegranate",1
91,"Grain Salad","carrots",3
92,"Grain Salad","olives",2
93,"Grain Salad","parsley",0.5
94,"Grain Salad","raisins",1
95,"Grain Salad","shallots",1
96,"Grain Salad","lemons",0.5
12,"Hoppin John","black eyed peas",3
13,"Hoppin John","parsley",0.25
14,"Hoppin John","bacon",0.5
11,"Jerk Chicken","chicken",1
71,"Jerk Chicken","scallions",1
72,"Jerk Chicken","habanero chilies",2
9,"Korean Beef Soup","beef brisket",0.5
10,"Korean Beef Soup","scallions",3
25,"Korean Beef Soup","garlic",1
85,"Korean Beef Soup","eggs",2
73,"Mango Hot Sauce","habanero chilies",3
74,"Mango Hot Sauce","mangos",1
134,"Pad Thai","eggs",4
135,"Pad Thai","bean sprouts",1
136,"Pad Thai","rice noddles",1
137,"Pad Thai","chillies",2
